|Analista de gestión de relaciones con clientes|
|Jefe de finanzas corporativas|
|Human Resources Manager|
|Supply Chain Operations Specialist|
|Customer Service Representative|
|Junior Legal Assistant|
|Analista de remuneraciones|
|Secretária escolar|
|Sales Director|
|Auxiliar de RR. HH.|
|Assistant Auditor / Auditor|
|Banco de Talentos|
|Finance Administrator|
|Assistente faturamento|
|Social Media Manager|
|Logistics Coordinator|
|Finance Student/Intern|
Digitador
|*BANCO DE TALENTOS ROLDÃO*|
|Human Resources Generalist|
|Product Manager(Online business)|
|Monetization Strategy & Operations Associate, Pricing|
|Analista Ssr/Sr Planificación Financiera - Eventual 6 meses|
|Global Sales Manager|
|Supervisor de relacionamento com o cliente|
|Virtual Assistant|
Consultor
|Operations Executive|
|Chef de Projet Digital|
|Investment Analyst|
|Assistant Communication|
|Assistant.e Chargé.e de Communication|
